 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| hak | hak | hak -el -n | | | | | |
| hak | hak | hak -en | der Hak -en | | | |Resultat|
| halfter | halfter | halfter -n | die Halfter | | | |Meronym|
| hall | hall | hall -en | der Hall | | | |Resultat|
| hals | hals | hals -en | der Hals | | | < germ. \*halsa ~ umhalsen |Ort| "umarmen"
| halse | halse | halse -n | die Halse | | | |Instrument| "vor dem Wind wenden"
| halt | hält -er (U) | hälter -n | der Hälter | | | |Instrument| "in Be-hälter aufbewahren"
| halt | halt -er | halter -n | der Halter | | | ~ die Halterung |Instrument| "in Halter-ung festklemmen"
| halt | halt | halt -en | der Halt | | | |Instrument|
| hammer | hammer | hämmer -n (U) | der Hammer | | | < germ. \*hamara |Instrument|
| hampel | hampel | hampel -n | | | | |Körperbewegung|
| hamster | hamster | hamster -n | der Hamster | | | |Lebewesen|
| hand | hand | aus/be/ein- händ -ig -en (U) | die Hand | | | |Instrument|
| hand | hant -el | hantel -n | die Hantel | | | ~ hantieren, Hand |Instrument|
| handel | handel | handel -n | der Handel | | | |Resultat|
| handle | händel | händel -n | | | | neues Lehnwort < en. to handle | |
| hang | hang | hang -el -n | | | | |KleineSchritte|
| hang | hang | häng -en (U) | der Hang | | | |???|
| hanse | hanse | hänse -l -n (U) | die Hanse | | | |Analogon|
| hap | hap -sel | haspel -n | die Haspel | | | ie. \*kap "fassen" |Instrument|
| haper | haper | haper -n | | | | | |
| harke | harke | harke -n | die Harke | | | |Instrument|
| harm | harm -los | ver- harmlos -en | | harmlos | | | |
| harm | harm | härm -en (U) | der Harm | | | |Empfindung|
| harn | harn | harn -en | der Harn | | | |Resultat|
| harr | harr | harr -en | | | | | |
| harsch | harsch | harsch -en | der Harsch | harsch | | |Resultat| "eisig"
| hart | hart | härt -en (U) | | hart | | | |
| hartz | hartz | hartz -en | | | (Peter) Hartz | |Name|
| harz | harz | harz -en | der Harz | | | |Resultat/Instrument| "Harz ausscheiden / mit Harz bestreichen"
| hasch 1 | hasch | hasch -en | | | | ~ erhaschen | | "schnell ergreifen"
| hasch 2 | hasch | hasch -en | der Hasch | | | ~ Haschisch, Lehnwort < arab. ḥašīš |Instrument|
| hass | häss -lich (U) | ver- hässlich -en | | hässlich | | | |
| hass | hass | hass -en | der Hass | | | |Empfindung|
| hast | hast | hast -en | die Hast | | | |???| "mit Hast bewegen"
| hatsch | hatsch | hätsch -el -n (U) | | | | |Diminutiv| "streicheln"
| hatsch | hatsch | hatsch -en | | | | |Körperbewegung| "mühsam gehen"
| hauch | hauch | hauch -en | der Hauch | | | |Resultat|
| haue | haue | haue -n | die Haue | | | |Resultat|
| hauf | hauf | häuf -el -n (U) | | | | |KleineSchritte|
| hauf | hauf | häuf -en (U) | der Hauf -en | | | |Resultat|
| haupt | haupt | ent- haupt -en | das Haupt | | | ~ behaupten |Meronym|
| haus | häus -lich (U) | ver- häuslich -en | | häuslich | | | |
| haus | haus | haus -en | das Haus | | | |Instrument|
| haut | haut | häut -en (U) | die Haut | | | |Meronym|
| heb | heb -el | hebel -n | der Hebel | | | |Instrument|
| heb | heb -er | ab/aus- heber -n | der Heber | | | |Instrument|
| heb | heb | heb -en | der Hub (A) | | | | |
| hechel 1 | hechel | hechel -n | | | | |Stimmgeräusch|
| hechel 2 | hechel | hechel -n | die Hechel | | | |Instrument| "mit der Hechel arbeiten"
| hecht | hecht | hecht -en | der Hecht | | | ~ Hechtsprung |Lebewesen|
| hecke | hecke | hecke -n | die Hecke | | | ~ en. to hatch |Resultat| "auf einmal mehrere Junge vervorbringen"
| hede | hedde | ver- hedde -r -n | die Hede | | | |Resultat| "in Unordnung bringen"
| heer | heer | ver- heer -en | das Heer | | | |Instrument|
| heft | heft | heft -en | das Heft | | | |Resultat|
| hege | hege | hege -n | die Hege | | | ~ Gehege |Resultat|
| hehl | hehl | hehl -en | | hehl | | | |
| heil | heil -ig | heilig -en | | heilig | | | |
| heil | heil | heil -en | | heil | | | |
| heim | heim -lich | ver- heimlich -en | | heimlich | | | |
| heim | heim | an- heim -el -n | das Heim | | | |Analogon|
| heim | heim | ein- heim -s -en | das Heim | | | |Ort|
| heimat | heimat | be- heimat -en | die Heimat | | | |Ort| "eine Heimat geben"
| heirat | heirat | heirat -en | die Heirat | | | |Resultat|
| heisch | heisch | heisch -en | | | | | | "fordern"
| heiß | heiß | heiß -en | das Ge- heiß | | | |Stimmgeräusch|
| heiter | heiter | auf/er- heiter -n | | heiter | | | |
| heiz | heiz | heiz -en | | heiß | | | |
| helf | helf | helf -en | die Hilf -e (A) | | | | |
| hell 1 | be- hell -ig | behellig -en | | | | ~ germ. \*halla "schwach" ≠ hell | |
| hell 2 | hell | hell -en | | hell | | | |
| helm | helm | be- helm -en | der Helm | | | |Instrument|
| hemm | hemm | hemm -en | die Hemm -ung | | | | |
| henk | henk -el | henkel -n | der Henkel | | | |Resultat/Instrument| "mit einem Henkel versehen / am Henkel tragen"
| henk | henk | henk -en | | | | | | "aufhängen"
| herberge | herberge | be- herberge -n | die Herberge | | | |Ort|
| herbst | herbst | herbst -el -n | der Herbst | | | |Analogon|
| herbst | herbst | herbst -en | der Herbst | | | |Analogon|
| herr | herr -lich | ver- herrlich -en | | herrlich | | | |
| herr | herr | herr -sch -en | der Herr | | | ~ hehr |Lebewesen|
| herz | herz | be- herz -ig -en | das Herz | | | < germ. \*hertan |Analogon|
| herz | herz | herz -en | das Herz | | | < germ. \*hertan |Analogon|
| hetze | hetze | hetze -n | die Hetze | | | |Resultat|
| heu | heu | heu -en | das Heu | | | |Resultat|
| heuchel | heuchel | heuchel -n | | | | |Stimmgeräusch| "vortäuschen"
| heuer | heuer | heuer -n | die Heuer | | | ~ anheuern, en. to hire |Instrument|
| heul | heul | heul -en | | | | |Stimmgeräusch|
| hexe | hexe | hexe -n | die Hexe | | | |Lebewesen|
| hibbel | hibbel | hibbel -n | | | | |Körperbewegung| "kleine Sprünge machen"
| hick | hick | hick -en | | | | |Stimmgeräusch|
| hick | hick | hick -s -en | | | | |Stimmgeräusch|
| hiev | hiev | hiev -en | | | | | |
| himmel | himmel | an- himmel -n | der Himmel | | | |Analogon|
| hinder | hinder | hinder -n | | | hinter | | |
| hink | hink | hink -en | | | | |Körperbewegung|
| hirn | hirn | ent- hirn -en | das Hirn | | | |Meronym|
| hiss | hiss | hiss -en | | | | |Stimmgeräusch|
| hitze | hitze | er/über- hitze -n | die Hitze | | | |Resultat| "Hitze haben"
| hob | hob -el | hobel -n | die Hobel | | | < ie. \*keup "biegen" |Instrument|
| hoch-deutsch | hochdeutsch | ver- hochdeutsch -en | das Hochdeutsch | | | |Analogon|
| hocke | hocke | hocke -n | die Hocke | | | |Resultat|
| hoff | hoff | hoff -en | | | | ~ die Hoffnung | |
| hoh | hoh | er/über- höh -en (U) | | hoh | | | |
| hohl | hohl | höhl -en (U) | | hohl | | | |
| hohn | hohn | höhn -en (U) | der Hohn | | | |Resultat|
| höker | höker | höker -n | der Höker | | | |Lebewesen| "Kleinhändler"
| hol | hol | hol -en | | | | | |
| holland | holländ -er (U) | holländer -n | der Holländer | | | |Ort>Lebewesen|
| holper | holper | holper -n | | | | |Körperbewegung|
| holz | holz | holz -en | das Holz | | | < germ. \*hulta |Resultat|
| hopp | hop -s | hops -en | der Hops | | | |Resultat|
| hopp | hopp | hopp -el -n | | | | |KleineSchritte|
| hör | ge- hör | gehör -en | | | | ~ gehörig, angehören < hören | |
| hör | hör | hör -en | | | | | |
| horch | horch | horch -en | | | | | |
| horn | horn | ver- horn -en | das Horn | | | |Meronym|
| horst | horst | horst -en | der Horst | | | |Ort| "nesten"
| hort | hort | hort -en | der Hort | | | |Ort| "Kostbares anhäufen"
| hose | hose | an/aus- hose -n | die Hose | | | |Meronym|
| host | host | host -en | der Host | | | neues Lehnwort < en. |Lebewesen|
| hot | hot | hott -en | der Hot | | | neues Lehnwort < en. hot jazz |Analogon|
| hübsch | hübsch | auf- hübsch -en | | hübsch | | ~ höfisch | |
| hucke | hucke | hucke -n | die Hucke | | | |Instrument| "Last auf den Rücken nehmen"
| hudel | hudel | hudel -n | | | | | | "pfuschen"
| hufe | hufe | be- hufe -n | die Hufe | | | |Resultat|
| huld | huld | huld -ig -en | die Huld | | | |Resultat| "Huld geben"
| hülle | hülle | hülle -n | die Hülle | | | |Instrument|
| hülse | hülse | aus/ent- hülse -n | die Hülse | | | |Meronym|
| hump | hum | be- hum -s -en | | | | ~? humpeln | | "betrügen"
| hump | hump | hump -el -n | | | | ~ nd. humpen | |
| hund | hund | hun -z -en | der Hund | | | |Lebewesen| "beschimpfen"
| hunger | hunger | hunger -n | der Hunger | | | < germ. \*hungru |Empfindung|
| hupe | hupe | hupe -n | die Hupe | | | |Instrument|
| hüpf | hüpf | hüpf -en | | | | |Körperbewegung|
| hure | hure | hure -n | die Hure | | | |Lebewesen|
| husch | husch | husch -el -n | | | | | | "sich einhüllen"
| husch | husch | husch -en | | | | |Körperbewegung|
| hust | hust | hüst -el -n (U) | | | | |Diminutiv|
| hust | hust | hust -en | der Hust -en | | | |Resultat|
| hut | hut | hüt -en (U) | der Hut | | | |Analogon|
| hütte | hütte | ver- hütte -n | die Hütte | | | |Ort|
| hype | hype | hype -n | der Hype | | | neues Lehnwort < en. |Resultat|
| iah | iah | iah -en | | | | |Tiergeräusch|
| igel | igel | ein- igel -n | der Igel | | | |Lebewesen|
| ihr | ihr | ihr -z -en | | | ihr | |Pronomen|
| iller | iller | iller -n | | | | | | "spähen"
| imker | imker | imker -n | der Imker | | | |Lebewesen|
| impf | impf | impf -en | die Impf -ung | | | | |
| inhalt | inhalt | be- inhalt -en | der Inhalt | | | |???| "Inhalt haben"
| inliner | inliner | inliner -n | der Inliner | | | neues Lehnwort < en. |Instrument|
| inner | inner -lich | ver- innerlich -en | | innerlich | | ~ ADJ inner | |
| inner | inner | er- inner -n | | inner | | | |
| interview | interview | interview -en | das Interview | | | neues Lehnwort < en. |Resultat|
| irr | irr | irr -en | | irr | | | |
| irr-licht | irrlicht -er | irrlichter -n | die Irrlichter | | | |Analogon>Plural|
| ix | ix | aus/durch- ix -en | | | ix (Buchstabe) | | |
| ja | ja | be- jah -en | | | ja | | |
| jacht | jacht | jacht -er -n | | | | ~ Jagd, nl. Jacht |Resultat| "umherjagen"
| jag | jag | jag -en | die Jag -t | | | |Resultat|
| jahr | jahr | jähr -en (U) | das Jahr | | | |???| "jährlich stattfinden"
| jammer | jammer | jammer -n | der Jammer | | | < ahd. jāmar |Resultat|
| japp | japp | jap -s -en | | | | |Stimmgeräusch|
| japp | japp | japp -en | | | | |Stimmgeräusch|
| jät | jät | jät -en | | | | | |
| jauch | jauch | jauch -z -en | | | juchhei | |Stimmgeräusch|
| jauche | jauche | jauche -n | die Jauche | | | |Resultat/Instrument|
| jaul | jaul | jaul -en | | | | |Tiergeräusch|
| jause | jause | jause -n | die Jause | | | |Verzehr|
| jazz | jazz | jazz -en | der Jazz | | | 20. Jhd Lehnwort < en. |Resultat|
| jett | jett | jett -en | der Jet | | | neues Lehnwort < en. |Instrument|
| jidd | jidd | jidd -el -n | | jidd -isch | | |Stimmgeräusch|
| jo | jo | jo -d -el -n | | | jo | |Stimmgeräusch|
| jobb | jobb | jobb -en | der Job | | | neues Lehnwort < en. |???| "kurzfristige Jobs ausführen"
| joch | joch | unter- joch -en | das Joch | | | |Analogon|
| jog | jogg | jogg -en | | | | neues Lehnwort < en. | |
| johl | johl | johl -en | | | | |Stimmgeräusch|
| joke | joke | joke -n | der Joke | | | neues Lehnwort < en. |Resultat|
| jubel | jubel | jubel -n | der Jubel | | | Lehnwort < lat. jubilare |Resultat|
| juch | juch | juch -z -en | | | juchhei | |Stimmgeräusch|
| juck | juck | juck -el -n | | | | |Hinundher| "unruhig sitzen"
| juck | juck | juck -en | | | | | |
| jude | jude | ent/ver- jude -n | der Jude | | | |Lebewesen|
| jump | jump | jump -en | | | | neues Lehnwort < en. | |
| jung | jung | jung -en | | jung | | | |
| jung | jung | ver- jüng -en (U) | | jung | | | |
| jungfer | jungfer | ent- jungfer -n | die Jungfer | | | ~ junge Frau |Lebewesen|
| jux | jux | jux -en | der Jux | | | |Resultat|
| kabbel | kabbel | kabbel -n | | | | |Stimmgeräusch| "streiten"
| kabel | kabel | kabel -n | das Kabel | | | Lehnwort < lat. capulum |Instrument|
| kachel | kachel | kachel -n | die Kachel | | | Lehnwort < lat. caculus |Meronym|
| kacke | kacke | kacke -n | die Kacke | | | |Resultat|
| kade | kade | auf- kade -n | die Kade | | | |Instrument|
| kahl | kahl | ver- kahl -en | | kahl | | | |
| kak | kak | kak -el -n | | | kak | |Tiergeräusch|
| kalauer | kalauer | kalauer -n | der Kalauer | | | ~ Calau ~ fr. calembour "Wortspiel" |Resultat|
| kalb | kälb -er (U) | kälber -n | die Kälber | | | |Lebewesen>Plural| "albern benehmen"
| kalb | kalb | kalb -en | das Kalb | | | |Meronym| "Kalb bekommen"
| kalfat | kalfat -er | kalfater -n | der Kalfater | | | Lehnwort < arab. calfata |Lebewesen| "Schiffszimmermann"
| kalk | kalk | kalk -en | der Kalk | | | |Instrument|
| kalme | kalme | be- kalme -n | die Kalme | | | ~ en. calm |Resultat| "Windstille"
| kalt | kalt | er- kält -en (U) | | kalt | | | |
| kalt | kalt | er- kalt -en | | kalt | | | |
| kamm | kamm | kämm -en (U) | der Kamm | | | |Instrument|
| kamp | kamp | kamp -el -n | | | | ~ kämpfen |Diminutiv| "raufen"
| kamp | kampf | kämpf -en (U) | der Kampf | | | |Resultat|
| kante | kante | kante -n | die Kante | | | |Ort| "sich auf die Kante stellen"
| kante | kante | kente -r -n (U) | die Kante | | | |Ort| "sich auf die Kante legen"
| kanter | kanter | kanter -n | der Kanter | | | Lehnwort < en. canter |Analogon| "Galopp"
| kanzel | kanzel | ab- kanzel -n | die Kanzel | | | Lehnwort < lat. cancella |Analogon|
| kap | kap -er | kaper -n | der Kaper | | | ~ nl. kapen "Seeräuberei treiben" |Instrument|
| kapitel | kapitel | ab- kapitel -n | das Kapitel | | | Lehnwort < lat. capitulum |Analogon| "zurecht weisen, ein Kapitel (vor)lesen"
| kapp | kapp | kapp -en | die Kapp -ung | | | | |
| kappe | kappe | ver- kappe -n | die Kappe | | | |Instrument|
| kapriole | kapriole | kapriole -n | die Kapriole | | | Lehnwort < it. capriola |Resultat|
| kapsel | kapsel | kapsel -n | die Kapsel | | | Lehnwort < lat. capsula |Instrument|
| karbatsche | karbatsche | karbatsche -n | die Karbatsche | | | Lehnwort < turk. kırbaç |Instrument|
| kärcher | kärcher | kärcher -n | | | Kärcher | |Name|
| karg | karg | karg -en | | karg | | | |
| karre | karre | karre -n | die Karre | | | Lehnwort < lat. carrus |Instrument|
| karriol | karriol | karriol -en | das Karriol | | | Lehnwort < fr. carriole < lat. carrus |Instrument|
| karst | karst | ver- karst -en | der Karst | | | |Resultat|
| karte | karte | ab- karte -n | die Karte | | | |Analogon|
| karte | karte | karte -l -n | | | | | | "Karten spielen"
| karte | karte | karte -n | die Karte | | | |Instrument| "Karten spielen"
| käse | käse | käse -n | der Käse | | | |Resultat|
| kasper | kasper | kasper -n | der Kasper | | | |Lebewesen|
| kast | kast | ein- kast -el -n | der Kast -en | | | |Ort| "einsperren"
| kast | kast | käst -el -n (U) | der Kast -en | | | |Meronym|
| kastei | kastei | kastei -en | die Kastei -ung | | | Lehnwort < lat. castigare | |
| katheter | katheter | katheter -n | der Katheter | | | Lehnwort < gr. kathetḗr |Instrument|
| katsch | katsch | katsch -en | | | | | | "schmatzen"
| kau | kau | kau -en | | | | |Körperbewegung|
| kau | kau | wieder- käu -en (U) | | | | |Körperbewegung|
| kauder-welsch | kauderwelsch | kauderwelsch -en | das Kauderwelsch | | | |Analogon|
| kauer | kauer | kauer -n | | | | | | "hinhocken"
| kauf | kauf | kauf -en | der Kauf | | | |Resultat|
| kaupel | kaupel | kaupel -n | | | | | | "Handel treiben"
| keck | keck | keck -en | | | keck | |Tiergeräusch|
| keck | keck | keck -er -n | | | keck | |Tiergeräusch|
| keg | keg -el | kegel -n | der Kegel | | | ~ nl. keg "Keil" |Instrument>Diminutiv|
| kehle | kehle | ab- kehle -n | die Kehle | | | |Meronym|
| kehle | kehle | kehle -n | die Kehle | | | |Meronym|
| kehre | kehre | kehre -n | die Kehre | | | |Resultat|
| keif | keif | keif -en | | | | |Stimmgeräusch|
| keil | keil | keil -en | der Keil | | | |Resultat|
| keim | keim | keim -en | der Keim | | | |Meronym| "aus einem Keim wachsen"
| kelle | kelle | auf- kelle -n | die Kelle | | | |Instrument|
| keller | keller | keller -n | der Keller | | | Lehnwort < lat. cellarium |Ort|
| kellner | kellner | kellner -n | der Kellner | | | Lehnwort < lat. cellenarius |Lebewesen|
| kelter | kelter | kelter -n | die Kelter | | | Lehnwort < lat. calcatura |Instrument|
| kenn | kenn | kenn -en | die Kenn -ung | | | | |
| keppel | keppel | keppel -n | | | | |Stimmgeräusch| "schimpfen"
| kerbe | kerbe | kerbe -n | die Kerbe | | | |Resultat|
| kerker | kerker | ein- kerker -n | der Kerker | | | Lehnwort < lat. carcer |Ort|
| kern | kern | aus/ent- kern -en | der Kern | | | |Meronym|
| kesch | kesch -er | kescher -n | der Kescher | | | ~ en. catch |Instrument|
| kessel | kessel | ein- kessel -n | der Kessel | | | Lehnwort < lat. catillus |Instrument|
| kette | kette | kette -l -n | | | | | | "in Handarbeit Maschen verbinden"
| kette | kette | kette -n | die Kette | | | |Instrument|
| ketzer | ketzer | ketzer -n | der Ketzer | | | Lehnwort < gr. katharós |Lebewesen|
| keuch | keuch | keuch -en | | | | |Stimmgeräusch|
| keule | keule | keule -n | die Keule | | | |Instrument|
| kicher | kicher | kicher -n | | | | |Stimmgeräusch| "lachen"
| kick | kick | kick -en | der Kick | | | neues Lehnwort < en. |Resultat|
| kicker | kicker | kicker -n | der Kicker | | | neues Lehnwort < en. |Instrument|
| kidnap | kidnapp | kidnapp -en | | | | neues Lehnwort | |
| kiebitz | kiebitz | kiebitz -en | der Kiebitz | | | |Lebewesen| "beim Kartenspeil zuschauen"
| kiefel | kiefel | kiefel -n | | | | | | "nagen"
| kiek | kiek | kiek -en | | | | | |
| kien | kien | ver- kien -en | der Kien | | | |Resultat| "verholzen"
| kies 1 | er- kies | erkies -en | | | | nl. kiezen | | "erwählen"
| kies 2 | kies -el | ver- kiesel -n | der Kiesel | | | ~ Kieselsäure |Resultat>Diminutiv|
| kies 2 | kies | kies -en | das Kies | | | |Instrument| "mit Kies belegen"
| kif | kiff | kiff -en | | | | neues Lehnwort < en. < arab. kaif | |
| kill | kill -er | killer -n | | | (Tinten)-killer | neue Innovation aus 1972 |Instrument|
| kill | kill | kill -en | | | | neues Lehnwort < en. | |
| kippe | kippe | kippe -l -n | | | | |Diminutiv| "Gefahr laufen umzukippen"
| kippe | kippe | kippe -n | die Kippe | | | |???| "auf der Kippe stehen"
| kirn | kirn | kirn -en | die Karn (A) | | | ~ nl. karnemelk | |
| kirre | kirre | kirre -n | | kirre | | | |
| kitsch | kitsch | ver- kitsch -en | der Kitsch | | | |Resultat|
| kitt | kitt | kitt -en | der Kitt | | | |Instrument|
| kitzel | kitzel | kitzel -n | der Kitzel | | | ~ Nervenkitzel |Resultat|
| klabaster | klabaster | klabaster -n | | | | Lehnwort < it. calpestare |Körperbewegung| "trampeln"
| klack | klack | klack -en | | | | |Dinggeräusch|
| klack | klack | klack -er -n | | | | |Dinggeräusch|
| klack | klack | klack -s -en | | | | |Dinggeräusch|
| kläff | kläff | kläff -en | | | | |Tiergeräusch|
| klaff | klaff | klaff -en | der Klaff | | | |Resultat|
| klage | klage | klage -n | die Klage | | | |Resultat|
| klamüs | klamüs -er | klamüser -n | der Klamüser | | | Lehnwort < lat. calamus |Instrument>Lebewesen|
| kläpf | kläpf | kläpf -en | | | | |Dinggeräusch|
| klapp | klap -s | klaps -en | der Klaps | | | |Resultat|
| klapp | klapp | klapp -en | die Klapp -e | | | |Analogon|
| klapp | klapp | klapp -er -n | | | | |Dinggeräusch|
| klar | klar | auf- klar -en | | klar | | | |
| klar | klar | klär -en (U) | | klar | | | |
| klatsch | klatsch | klatsch -en | die Klatsch -e | | | |Resultat|
| klau | klau | klau -en | der Klau | | | ~ die Klaue |Resultat|
| klaub | klaub | klaub -en | | | | | |
| kleb | kleb | kleb -en | | | | | |
| kleck | kleck -s | klecks -en | der Klecks | | | |Resultat|
| kleck | kleck | kleck -en | | | | | |
| kleck | kleck | kleck -er -n | | | | | |
| kleid | kleid | kleid -en | das Kleid | | | |Instrument|
| klein | klein -er | ver/zer- kleiner -n | | kleiner | | | |
| kleister | kleister | kleister -n | der Kleister | | | < mhd. klīster |Instrument|
| klemm | klamm -er (A) | klammer -n | die Klammer | | | |Instrument|
| klemm | klemm | klemm -en | die Klemm -e | | | |Instrument|
| klemp | klemp -ner | klempner -n | der Klempner | | | |Instrument>Lebewesen|
| kletter | kletter | kletter -n | | | | ~? Klette | |
| klick | klick | klick -en | der Klick | | | |Resultat|
| klick | klick | klick -er -n | | | | ~ klicken | |
| klieb | klieb | klieb -en | | | | | | "spalten"
| klier | klier | klier -en | | | | | | "unsauber schreiben"
| klimm | klimm | klimm -en | | | | | |
| klimper | klimper | klimper -n | | | | |Dinggeräusch|
| kling | kling -el | klingel -n | die Klingel | | | |Instrument|
| kling | kling | kling -en | der Klang (A) | | | |Dinggeräusch|
| kling | klink -er | ver- klinker -n | der Klinker | | | |Resultat| "klingender Stein"
| klinke | klinke | klinke -n | die Klinke | | | |Instrument|
| klirr | klirr | klirr -en | | | | |Dinggeräusch|
| klitsch | klitsch | klitsch -en | | | | |Dinggeräusch| "hochtoniges Klatschen"
| klitter | klitter | klitter -n | | | | | |
| klön | klön | klön -en | | | | |Stimmgeräusch|
| klon | klon | klon -en | der Klon | | | neues Lehnwort < en. |Resultat|
| klopf | klopf | klopf -en | | | | |Dinggeräusch|
| klopp | klöpp -el (U) | klöppel -n | der Klöppel | | | |Instrument|
| klopp | klopp | klopp -en | die Klopp -e | | | |Resultat| "schlagen"
| klotz | klotz | klotz -en | der Klotz | | | |Analogon|
| kluft | kluft | zer- klüft -en | die Kluft | | | |Resultat|
| klug | klug | klüg -el -n (U) | | klug | | | |
| klump | glum | glum -s -en | | | | ~ klumpen | | "dickflüssig werden"
| klump | klump | klump -en | der Klump -en | | | |Resultat|
| klüngel | klüngel | klüngel -n | der Klüngel | | | |Lebewesen|
| klunker | klunker | klunker -n | der Klunker | | | |Analogon|
| knabb | knabb | knabb -er -n | | | | |Verzehr|
| knack | knack -s | knacks -en | der Knacks | | | |Resultat|
| knack | knack | knack -en | | | | |Dinggeräusch|
| knall | knall | knall -en | der Knall | | | |Resultat|
| knapp | knap | knap -s -en | | knapp | | | | "knausern"
| knapp | knapp | knapp -en | | knapp | | | |
| knapp | knapp | ver- knapp -en | | knapp | | | |
| knarr | knar | knar -z -en | | | | |Dinggeräusch| "knarren"
| knarr | knarr | knarr -en | die Knarr -e | | | |Instrument|
| knast | knast | ein/ver- knast -en | der Knast | | | |Ort|
| knatsch | knatsch | knatsch -en | | | | |Stimmgeräusch| "nörgeln"
| knatter | knatter | knatter -n | | | | |Dinggeräusch|
| knäuel | knäuel | knäuel -n | der Knäuel | | | |Resultat|
| knaupel | knaupel | knaupel -n | | | | | | "Fingernägel nagen"
| knaus | knaus -er | knauser -n | der Knauser | | | < mhd. knūʒ |Lebewesen| "geizig sein"
| knautsch | knautsch | knautsch -en | | | | | |
| kneb | kneb -el | knebel -n | der Knebel | | | < germ. \*knab "Stock" |Instrument>Diminutiv|
| knecht | knecht | knecht -en | der Knecht | | | |Lebewesen|
| kneif | kneif | kneif -en | | | | | |
| kneipe | kneipe | kneipe -n | die Kneipe | | | |Ort|
| kneipp | kneipp | kneipp -en | | | (Sebastian) Kneipp | | |
| knete | knete | knete -n | die Knete | | | |Instrument| "Masse zum Kneten"
| knibbel | knibbel | knibbel -n | | | | | |
| knick | knick -s | knicks -en | der Knicks | | | |Resultat|
| knick | knick | knick -en | der Knick | | | |Resultat|
| knicker | knicker | knicker -n | der Knicker | | | ~ knickrig |Lebewesen| "sparsam sein"
| knie | knie | knie -n | das Knie | | | |Instrument|
| knietsch | knietsch | knietsch -en | der Knatsch (A) | | | |Stimmgeräusch| "nörgeln"
| kniff | kniff | kniff -en | der Kniff | | | |Resultat|
| knipp | knip | knip -s -en | | | | ~ nl. knippen |Dinggeräusch|
| knirr | knir | knir -sch -en | | | | ~ mhd knirren |Dinggeräusch|
| knister | knister | knister -n | | | | |Dinggeräusch|
| knitter | knitter | knitter -n | der Knitter | | | |Resultat|
| knobel | knobel | knobel -n | der Knobel | | | |Instrument| "Knochen/Würfel um Entscheidung zu treffen"
| knoch | knöch -el (U) | über- knöchel -n | der Knöchel | | | |Instrument>Diminutiv|
| knoch | knoch | ver- knöch -er -n (U) | der Knoch -en | | | |Resultat|
| knock | aus- knock | ausknock -en | | | | neues Lehnwort < en. | |
| knödel | knödel | knödel -n | | | | ~? Knödel |Stimmgeräusch|
| knopf | knopf | knöpf -en (U) | der Knopf | | | < germ. \*knuppa |Instrument|
| knopf | knopf | knüpf -en (U) | der Knopf | | | < ahd. knuph-jan < germ. \*knuppa |Resultat|
| knorpel | knorpel | ver- knorpel -n | der Knorpel | | | |Resultat| "knorpelig werden"
| knospe | knospe | knospe -n | die Knospe | | | |Resultat|
| knot | knot | knot -en | der Knot -en | | | |Resultat/Instrument|
| knot | knudd -el | knuddel -n | der Knuddel | | | |Resultat| "zerknoten"
| knoter | knoter | knoter -n | | | | |Stimmgeräusch| "nörgeln"
| knuff | knuff | knuff -en | der Knuff | | | |Resultat| "stoßen, einen Knuff geben"
| knüll | knüll | knüll -en | | | | | |
| knüppel | knüppel | knüppel -n | der Knüppel | | | |Instrument|
| knurr | knurr | knurr -en | | | | |Tiergeräusch|
| knus | ver- knus | verknus -en | | | | < ahd. knussen "zerstoßen" | | "nicht leiden können"
| knusper | knusper | knusper -n | | | | |Dinggeräusch|
| knutsch | knutsch | knutsch -en | | | | |Körperbewegung|
| knüttel | knüttel | knüttel -n | der Knüttel | | | ~ Knüttelvers |Instrument|
| kobold | kobol -z | kobolz -en | der Kobolz | | | ~ Kobold = koben+hold "Haus-hälter" |Resultat| "Purzelbaume schlagen"
| koch | koch | köch -el -n (U) | | | | |Diminutiv|
| koch | koch | koch -en | der Koch | | | |Lebewesen|
| köder | köder | köder -n | der Köder | | | < germ. \*kwerþraz |Instrument|
| koffer | koffer | aus- koffer -n | der Koffer | | | Lehnwort < fr. cofre |Resultat| "Vertiefung graben"
| kohle | kohle | kohle -n | die Kohle | | | |Resultat|
| kok | kok -s | koks -en | der Koks | | | 19. Jhd. Lehnwort < en. |Instrument|
| kok | kok | kok -en | | | | 19. Jhd. Lehnwort < en. coke | |
| kokel | kokel | kokel -n | | | | | | "mit Feuer spielen"
| kolk | kolk | aus- kolk -en | der Kolk | | | ~ nl. kolken "wirbeln" |Resultat|
| koller | koller | koller -n | der Koller | | | Lehnwort < gr. kholéra |Resultat|
| komm | komm | komm -en | | | | | |
| komm | voll- komm -en | ver- vollkommn -en | | vollkommen | | | |
| konditer | konditer | konditer -n | der Konditor | | | Lehnwort < lat. condītor |Lebewesen|
| könn | könn | könn -en | | | | | |
| kontakt | kontakt | kontakt -en | der Kontakt | | | |Resultat|
| konter | konter | konter -n | der Konter | | | 20. Jhd. Lehnwort < en. counter < lat. contra |Resultat|
| konterfei | konterfei | konterfei -en | das Konterfei | | | Lehnwort < fr. contrefait |Resultat|
| kopie | kopie | kopie -r -en | die Kopie | | | |Resultat|
