 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| batik | batik | batik -en | das Batik | | | |Resultat|
| bau | bau -er | ver- bauer -n | der Bauer | | | |Lebewesen|
| bau | bau | bau -en | der Bau | | | |Resultat|
| bauch | bauch | bauch -en | der Bauch | | | |Analogon|
| baum | baum | baum -el -n | der Baum | | | ~? bammeln |Analogon|
| baum | baum | bäum -en (U) | der Baum | | | ~ aufbäumen |Analogon|
| baum | baum | baum -en | der Baum | | | |Ort|
| bausch | bausch | bausch -en | der Bausch | | | |Analogon|
| beam | beam | beam -en | der Beam | | | neues Lehnwort < en. |Instrument|
| beat | beat | beat -en | der Beat | | | neues Lehnwort < en. |Resultat|
| beb | beb | beb -en | die Beb -ung | | | | |
| beb | bebb | bebb -er -n | | | | ~ beben, bibbern |Körperbewegung|
| beb | bibb (A) | bibb -er -n | | | | |Körperbewegung|
| becher | becher | becher -n | der Becher | | | ~ lat. bicarius |Instrument|
| beere | beere | ab- beere -n | die Beere | | | |Resultat|
| behr | ent- behr | entbehr -en | die Entbehr -ung | | | ~ gebären | |
| behr | ge- bär | gebär -en | | | | ~ entbehren | |
| beichte | beichte | beichte -n | die Beichte | | | |Resultat|
| beige | beige | beige -n | die Beige | | | |Resultat| "stapeln"
| bein | bein | aus- bein -en | das Bein | | | |Meronym|
| bein | bein | bein -el -n | das Bein | | | |Instrument|
| beiß | beiß | beiß -en | der Biss (A) | | | |Körperbewegung|
| beiz | beiz | beiz -en | die Beiz -e | | | ~ beißen |Instrument|
| belf | belf | belf -er -n | | | belf | ~ blaffen |Tiergeräusch|
| bell | bell | bell -en | | | | |Tiergeräusch|
| benedei | benedei | benedei -en | die Benedei -ung | | | Lehnwort < lat. benedicere |Stimmgeräusch| "segnen"
| benz | benz | benz -en | | | | |Stimmgeräusch| "bitten"
| bequem | bequem | bequem -en | | bequem | | | |
| bereit | bereit | bereit -en | | bereit | | | |
| berg | berg | berg -en | die Berg -ung | | | | |
| berlin | berlin -er | berliner -n | der Berliner | | | |Ort>Lebewesen|
| berserker | berserker | berserker -n | der Berserker | | | Lehnwort < nord. ber-serkr |Lebewesen|
| berst | berst | berst -en | | | | | |
| bess | bess -er | besser -n | | besser | | | |
| bessemer | bessemer | bessemer -n | | | (Henry) Bessemer | |Name| "Metallverarbeitung"
| best | bast (A) | bast -el -n | | | | < mhd. besten "schnüren, binden" | |
| bet | bet | bet -en | das Ge- bet | | | |Stimmgeräusch|
| bet | bett | bett -el -n | | | | ~ betten, bitten |Wiederholung|
| bett | bett | bett -en | das Bett | | | |Ort|
| beule | beule | beule -n | die Beule | | | |Resultat|
| beut | beut -el | beutel -n | der Beutel | | | < germ. \*bud-il |Instrument>Diminutiv|
| beute 1 | beute | aus/er- beute -n | die Beute | | | < germ. \*beuda |Resultat|
| beute 2 | beute | beute -n | die Beute | | | < germ. \*biūtjan |Ort| "Bienenunterkunft"
| bieder | bieder | an- bieder -n | | bieder | | < mhd. be-dürfen | |
| bieg | beug (K) | beug -en | die Beug -e | | | ~ biegen |Resultat|
| bieg | bieg | bieg -en | die Bieg -e | | | |Resultat|
| bieg | büg -el (A) | bügel -n | der Bügel | | | ~ biegen |Instrument|
| biet | biet | biet -en | das Ge- bot (A) | | | |Stimmgeräusch|
| bild | bild -er | be- bilder -n | die Bilder | | | |Instrument>Plural|
| bild | bild -lich | ver- bildlich -en | | bildlich | | | |
| bild | bild | bild -en | das Bild | | | |Resultat|
| billig | billig | billig -en | | billig | | | |
| bimm | bimm -el | bimmel -n | die Bimmel | | | ~ bim bam bum |Dinggeräusch|
| bims | bims | bims -en | der Bims | | | Lehnwort < lat. pūmex, pūmicis |Instrument| "mit Bimsstein glätten"
| bind | bind -er | binder -n | der Binder | | | |Instrument|
| bind | bind | bind -en | die Bind -e | | | |Instrument|
| binge | binge | binge -n | | | | neues Lehnwort < en. | |
| binokel | binokel | binokel -n | das Binokel | | | Lehnwort < it. bin oculi "zwei Augen/Kartenblätter" |Instrument| "Kartenspiel"
| bisch | bisch | bisch -en | | | | |Körperbewegung| "Säugling wiegen"
| bitch | bitch | bitch -en | die Bitch | | | neues Lehnwort < en. |Lebewesen|
| bitte | bitte | bitte -n | die Bitte | | | ~? beten |Resultat|
| bitter | bitter | ent/er/ver- bitter -n | | bitter | | < germ \*bit-r ~ beißen | |
| bitzel | bitzel | bitzel -n | | | | | | "prickeln"
| blaff | blaff | bläff -en (U) | | | | |Tiergeräusch|
| blaff | blaff | blaff -en | | | | |Tiergeräusch|
| bläh | bläh | bläh -en | die Bläh -ung | | | | |
| blak | blak | blak -en | | | | | | "qualmen"
| bläk | bläk | bläk -en | | | | |Stimmgeräusch| "schreien"
| blase | blase | blase -n | die Blase | | | |Resultat|
| blass | blass | ab/er/ver- blass -en | | blass | | | |
| blatt | blätt -er (U) | blätter -n | die Blätter | | | |Instrument>Plural|
| blatt | blatt | über/ver- blatt -en | das Blatt | | | |Analogon|
| blau | blau | bläu -en (U) | | blau | | | |
| blau | blau | blau -en | | blau | | | |
